"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U16";"SOT-23-6";1;"Regulator_Switching_MT3608";;;
2;"TR7,TR6,TR2";"SOT-23";3;"Si2302CDS-n-ch";;;
3;"R51,R48";"R_0805_2012Metric";2;"100R";;;
4;"R50";"R_0805_2012Metric";1;"1k2";;;
5;"R49";"R_0805_2012Metric";1;"18k";;;
6;"R47";"R_0805_2012Metric";1;"5k1";;;
7;"R46";"R_0805_2012Metric";1;"180k";;;
8;"R45,R14,R13,R1";"R_0805_2012Metric";4;"10k";;;
9;"L2";"L_Coilcraft_LPS5030";1;"22uH";;;
10;"JP7";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
11;"JP6";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_NO_Small";;;
12;"D21";"D_SOD-123";1;"SS36";;;
13;"C30,C5,C4";"C_0805_2012Metric";3;"100nF";;;
14;"C29";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10uF";;;
15;"C28,C27";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"22uF";;;
16;"J3";"PinHeader_1x27_P2.54mm_Vertical";1;"Conn_01x27_Female";;;
17;"J9,J8";"psion_beeper_pad";2;"Conn_01x01_Female";;;
18;"U8";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
19;"R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R15";"R_0805_2012Metric";11;"100k";;;
20;"D1";"D_SOD-123";1;"3V0";;;
21;"C11,C10,C9,C7,C8,C6";"C_0805_2012Metric";6;"100n";;;
22;"U7,U6";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"74LS245";;;
23;"M1";"SOT-23";1;"P-CHANNEL-MOSFET";;;
24;"TR1";"SOT-23";1;"Si2302CDS-n-channel";;;
25;"J6";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x02_Female";;;
26;"J1";"PinHeader_2x08_P2.54mm_Horizontal";1;"Conn_02x08_Odd_Even";;;
27;"J4,J2";"PinHeader_2x08_P2.54mm_Horizontal_psionSide";2;"Conn_02x08_Odd_Even";;;
28;"U4,U3";"SOIC-8_3.9x4.9mm_P1.27mm";2;"CAT24C256";;;
29;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HC595";;;
30;"J5";"PinHeader_1x11_P2.54mm_Vertical";1;"Conn_01x11_Female";;;
