"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x27_P2.54mm_Vertical";1;"Conn_01x27_Female";;;
2;"J9,J8";"psion_beeper_pad";2;"Conn_01x01_Female";;;
3;"U8";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
4;"TR3,TR1";"SOT-23";2;"Si2302CDS-n-channel";;;
5;"TR2";"SOT-23";1;"Si2302CDS-n-ch";;;
6;"R17,R16,R14,R13,R1,R2";"R_0805_2012Metric";6;"10k";;;
7;"R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R15";"R_0805_2012Metric";11;"100k";;;
8;"M2,M1";"SOT-23";2;"P-CHANNEL-MOSFET";;;
9;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_NO_Small";;;
10;"J7";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x03_Female";;;
11;"D2";"D_SOD-123";1;"4V7";;;
12;"D1";"D_SOD-123";1;"3V0";;;
13;"C12";"C_0805_2012Metric";1;"4u7";;;
14;"C11,C10,C9,C7,C8,C6";"C_0805_2012Metric";6;"100n";;;
15;"C5,C4,C3,C2,C1";"C_0805_2012Metric";5;"100nF";;;
16;"U7,U6";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"74LS245";;;
17;"J6";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x02_Female";;;
18;"J1";"PinHeader_2x08_P2.54mm_Horizontal";1;"Conn_02x08_Odd_Even";;;
19;"J4,J2";"PinHeader_2x08_P2.54mm_Horizontal_psionSide";2;"Conn_02x08_Odd_Even";;;
20;"U4,U3";"SOIC-8_3.9x4.9mm_P1.27mm";2;"CAT24C256";;;
21;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HC595";;;
22;"J5";"PinHeader_1x11_P2.54mm_Vertical";1;"Conn_01x11_Female";;;
23;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
24;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
